alpha,mean_tau,median_tau,std_tau,mean_tau_frac,median_tau_frac,p25_tau_frac,p75_tau_frac,n_abstained,seed,dataset_key
0.6,115.70679012345678,55.0,152.54904235774342,0.19441157517350588,0.09854338039456007,0.027504946932901602,0.2836044143406474,1296,1,olympiadMath_phi3
0.7,87.91732804232804,24.0,134.5077313969686,0.16070111597405046,0.04392424193703978,0.008131783354653234,0.22026581980710422,1512,1,olympiadMath_phi3
0.8,71.89004629629629,11.0,119.25705854176888,0.14627135279707487,0.021807065217391303,0.0014897585338159108,0.18950581126491353,1728,1,olympiadMath_phi3
0.9,41.66203703703704,2.0,81.29774620638207,0.09903012672738677,0.0034712320514107844,0.0,0.08221408744437428,1944,1,olympiadMath_phi3
0.1,304.6388888888889,201.5,283.1130666141256,0.4181239316907932,0.35974134826843307,0.16591798835575186,0.6509975149122241,216,2,olympiadMath_phi3
0.2,246.90046296296296,156.0,251.13787676878576,0.35830149898926295,0.29420320090602925,0.11910685805422647,0.5698740879111247,432,2,olympiadMath_phi3
0.3,236.28395061728395,157.0,230.89313890687433,0.3446801392579765,0.2861390993715654,0.10359034813404493,0.564687339698509,648,2,olympiadMath_phi3
0.4,204.18055555555554,131.0,213.22836999344557,0.30261889841184547,0.2187997039416702,0.07532537402273325,0.49442607795381377,864,2,olympiadMath_phi3
0.5,169.8935185185185,98.0,190.40368118773927,0.26412974493216146,0.1747574163277205,0.04513426014092554,0.43739813774698555,1080,2,olympiadMath_phi3
0.6,126.6929012345679,57.5,157.2864704186855,0.21198249216081474,0.10460582582884742,0.023809523809523808,0.31596447101025343,1296,2,olympiadMath_phi3
0.7,87.7228835978836,23.0,140.7030976864517,0.15943007999228456,0.04133927742175165,0.0048234845323345,0.20848524564120896,1512,2,olympiadMath_phi3
0.8,70.69212962962963,10.0,119.06301876761428,0.14304434498591978,0.018261391524086068,0.0018034309014881957,0.17745524826846162,1728,2,olympiadMath_phi3
0.9,46.8070987654321,3.0,86.69472083344766,0.11026979008353766,0.0048543689320388345,0.0,0.09829681859736836,1944,2,olympiadMath_phi3
0.1,213.6898148148148,120.5,236.26680047643833,0.31808998373336195,0.2311520312415252,0.11651144859435805,0.4761693565834451,216,3,olympiadMath_phi3
