dataset_key,sigma,alpha,accuracy_mean,accuracy_std
olympiadMath_qwen,1.0,0.8,0.7736078886310904,0.0703282284854433
olympiadMath_qwen,1.0,0.9,0.9144186046511628,0.0030852323631212378
olympiadMath_qwen,2.0,0.1,0.4381430041152264,0.0020198928079009503
olympiadMath_qwen,2.0,0.2,0.4403211805555555,0.0018196988059641555
olympiadMath_qwen,2.0,0.3,0.4447089947089946,0.0019830243849953636
olympiadMath_qwen,2.0,0.4,0.4492091049382716,0.002056547917411679
olympiadMath_qwen,2.0,0.5,0.4641203703703704,0.002511334047243609
olympiadMath_qwen,2.0,0.6,0.47526041666666663,0.0075730626899898285
olympiadMath_qwen,2.0,0.7,0.494020061728395,0.012639374076820472
olympiadMath_qwen,2.0,0.8,0.5388051044083526,0.01920242721516888
olympiadMath_qwen,2.0,0.9,0.6890697674418604,0.03500057945900603
